chaos_id,canonical_smiles,molecular_formula
317,C#C/C(C)=C\CO,C6H8O
318,C#C/C=C(/C)C(=O)O,C6H6O2
319,C#C/C=C(\C)C(C)O,C7H10O
320,C#C/C=C(\C)C=O,C6H6O
321,C#C/C=C(\C)CO,C6H8O
322,C#C/C=C(\CC)C(O)CCC,C10H16O
323,C#C/C=C/C,C5H6
324,C#C/C=C/C(C)(C)O,C7H10O
325,C#C/C=C/C(C)O,C6H8O
326,C#C/C=C/C=C,C6H6
327,C#C/C=C/CCCCCC,C10H16
328,C#C/C=C/CCCCCO,C9H14O
329,C#C/C=C/CCCCO,C8H12O
330,C#C/C=C/CO,C5H6O
331,C#C/C=C/COC1CCCCO1,C10H14O2
332,C#C/C=C/N(CC)CC,C8H13N
333,C#C/C=C/N(CCCC)CCCC,C12H21N
334,C#C/C=C/N(CCCCC)CCCCC,C14H25N
335,C#C/C=C/OCCCC,C8H12O
336,C#C/C=C\C,C5H6
337,C#C/C=C\CBr,C5H5Br
338,C#C/C=C\CCCCCC,C10H16
339,C#CBr,C2HBr
340,C#CC,C3H4
341,C#CC#C,C4H2
342,C#CC#CC,C5H4
343,C#CC#CC#C,C6H2
344,C#CC#CC#CC#C,C8H2
345,C#CC#CC#CC#CC#C,C10H2
346,C#CC#CC#CC#CC#N,C9HN
347,C#CC#CC#CC#N,C7HN
348,C#CC#CC#N,C5HN
349,C#CC#CC(C)(C)O,C7H8O
350,C#CC#N,C3HN
351,C#CC(/C=C/C)=C(/C)CO,C9H12O
352,C#CC(/C=C/C)=C1\CCCCC1O,C12H16O
353,C#CC(/C=C/C)OC(C)=O,C8H10O2
354,C#CC(=C(C)C)C(C)(C)C,C10H16
355,C#CC(=C)C,C5H6
356,C#CC(=C)C(C)(C)C,C8H12
357,C#CC(=C)C(C)(C)CC,C9H14
358,C#CC(=C)CC,C6H8
359,C#CC(=C)C[Se]C,C6H8Se
360,C#CC(=C)OS(=O)(=O)C(F)(F)F,C5H3F3O3S
361,C#CC(=O)CCCCCCCCC,C12H20O
362,C#CC(=O)CCCc1ccccc1,C12H12O
363,C#CC(=O)F,C3HFO
364,C#CC(=O)O,C3H2O2
365,C#CC(=O)OCC,C5H6O2
366,C#CC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)C#C)cc2)cc1,C21H16O4
367,C#CC(=O)Oc1ccc(OC(=O)C#C)cc1,C12H6O4
368,C#CC(=O)Oc1ccc2cccc(OC(=O)C#C)c2c1,C16H8O4
369,C#CC(=O)Oc1cccc2c(OC(=O)C#C)cccc12,C16H8O4
370,C#CC(Br)CC,C5H7Br
371,C#CC(C#C)(CCCC)OC,C10H14O
372,C#CC(C#C)(CCCCCC)OC,C12H18O
373,C#CC(C#C)(OC)c1ccccc1,C12H10O
374,C#CC(C)(C)Br,C5H7Br
375,C#CC(C)(C)C,C6H10
376,C#CC(C)(C)C#C,C7H8
377,C#CC(C)(C)C(=O)CC(C)(C)C,C11H18O
378,C#CC(C)(C)CC,C7H12
379,C#CC(C)(C)CCC,C8H14
380,C#CC(C)(C)N(C)C,C7H13N
381,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C12H11Cl2NO
382,C#CC(C)(C)O,C5H8O
383,C#CC(C)(C)OC(=O)/C=C1\C(=O)C2(C)CCC1C2(C)C,C17H22O3
384,C#CC(C)(C)OC(=O)C1(C)CCC(C)C1(C)C,C15H24O2
385,C#CC(C)(C)OC(=O)C1=CC2(C)CCC1C2(C)C,C16H22O2
386,C#CC(C)(C)OC(=O)C1CC2(C)CCC1C2(C)C,C16H24O2
387,C#CC(C)(C)OC(=O)C1CC2C=CC1C2,C13H16O2
388,C#CC(C)(C)OC(=O)CC(C)=O,C9H12O3
389,C#CC(C)(C)OC(=O)CC1C(=O)C2(C)CCC1C2(C)C,C17H24O3
390,C#CC(C)(C)OC(C)=O,C7H10O2
391,C#CC(C)(C)OCC,C7H12O
392,C#CC(C)(C)OCCl,C6H9ClO
393,C#CC(C)(C)OCOC,C7H12O2
394,C#CC(C)(CC)CC,C8H14
395,C#CC(C)(CC)OC(=O)/C=C1\C(=O)C2(C)CCC1C2(C)C,C18H24O3
396,C#CC(C)(CC)OC(=O)C1(C)CCC(C)C1(C)C,C16H26O2
397,C#CC(C)(CC)OC(=O)C1=CC2(C)CCC1C2(C)C,C17H24O2
398,C#CC(C)(CC)OC(=O)C1CC2(C)CCC1C2(C)C,C17H26O2
399,C#CC(C)(CC)OC(=O)CC1C(=O)C2(C)CCC1C2(C)C,C18H26O3
400,C#CC(C)(CC)OC(N)=O,C7H11NO2
401,C#CC(C)(CCCC(C)CCCC(C)C)OC(C)=O,C17H30O2
402,C#CC(C)(Cl)CC,C6H9Cl
403,C#CC(C)(O)/C=C/C1=C(C)CCCC1(C)C,C15H22O
404,C#CC(C)(O)/C=C/C=C(C)C,C10H14O
405,C#CC(C)(O)/C=C\C,C7H10O
406,C#CC(C)(O)C(C)(C)C,C8H14O
407,C#CC(C)(O)C(C)(C)CC,C9H16O
408,C#CC(C)(O)C(C)(C)O,C7H12O2
409,C#CC(C)(O)C(C)(O)C(C)(C)C,C10H18O2
410,C#CC(C)(O)C(C)(O)CC(C)(C)C,C11H20O2
411,C#CC(C)(O)C(C)C,C7H12O
412,C#CC(C)(O)C(C)CC,C8H14O
413,C#CC(C)(O)C(C)CC=C(C)C,C11H18O
414,C#CC(C)(O)C1=C(C)CCC1,C10H14O
415,C#CC(C)(O)C=C(C)C,C8H12O
416,C#CC(C)(O)CC,C6H10O
417,C#CC(C)(O)CC(C)C=C(C)C,C11H18O
418,C#CC(C)(O)CC/C=C(\C)C=C,C11H16O
419,C#CC(C)(O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,C20H32O
420,C#CC(C)(O)CC/C=C(\C)CCC=C(C)C,C15H24O
421,C#CC(C)(O)CCC,C7H12O
422,C#CC(C)(O)CCC(C)=C(C)C,C11H18O
423,C#CC(C)(O)CCC(C)C,C9H16O
424,C#CC(C)(O)CCC(CC)CCCC,C13H24O
425,C#CC(C)(O)CCC=C,C8H12O
426,C#CC(C)(O)CCC=C(C)C,C10H16O
427,C#CC(C)(O)CCCC,C8H14O
428,C#CC(C)(O)CCCC(C)C,C10H18O
429,C#CC(C)(O)CCCC(C)CCCC(C)C,C15H28O
430,C#CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,C20H38O
431,C#CC(C)(O)CCCCC,C9H16O
432,C#CC(C)(O)CCCCCCC,C11H20O
433,C#CC(C)(O)CCCCCCCCC,C13H24O
434,C#CC(C)(O)CCCCCCCCCCCCCCC,C19H36O
